input,time,language,algorithm
30000,1537358,C,insertion_recursive
30000,1542166,C,insertion_recursive
30000,1534947,C,insertion_recursive
30000,1533884,C,insertion_recursive
30000,1536451,C,insertion_recursive
30000,1541332,C,insertion_recursive
31000,1625033,C,insertion_recursive
31000,1670686,C,insertion_recursive
31000,1640968,C,insertion_recursive
31000,1648098,C,insertion_recursive
31000,1631711,C,insertion_recursive
31000,1654424,C,insertion_recursive
31000,1650612,C,insertion_recursive
31000,1648178,C,insertion_recursive
31000,1639072,C,insertion_recursive
31000,1640348,C,insertion_recursive
32000,1747070,C,insertion_recursive
32000,1761767,C,insertion_recursive
32000,1756502,C,insertion_recursive
32000,1752215,C,insertion_recursive
32000,1761770,C,insertion_recursive
32000,1939781,C,insertion_recursive
32000,1742365,C,insertion_recursive
32000,1758064,C,insertion_recursive
32000,1739903,C,insertion_recursive
32000,1779171,C,insertion_recursive
33000,1895548,C,insertion_recursive
33000,1886433,C,insertion_recursive
33000,1873995,C,insertion_recursive
33000,1890117,C,insertion_recursive
33000,1891374,C,insertion_recursive
33000,1907102,C,insertion_recursive
33000,1908639,C,insertion_recursive
33000,1892535,C,insertion_recursive
33000,1873688,C,insertion_recursive
33000,1872231,C,insertion_recursive
34000,1987243,C,insertion_recursive
34000,2032174,C,insertion_recursive
34000,2006105,C,insertion_recursive
34000,2011143,C,insertion_recursive
34000,2003936,C,insertion_recursive
34000,2010049,C,insertion_recursive
34000,2013180,C,insertion_recursive
34000,2014424,C,insertion_recursive
34000,2073687,C,insertion_recursive
34000,1987729,C,insertion_recursive
35000,2100375,C,insertion_recursive
35000,2115121,C,insertion_recursive
35000,2127971,C,insertion_recursive
35000,2156892,C,insertion_recursive
35000,2135795,C,insertion_recursive
35000,2125844,C,insertion_recursive
35000,2131947,C,insertion_recursive
35000,2133750,C,insertion_recursive
35000,2104348,C,insertion_recursive
35000,2095289,C,insertion_recursive
36000,2197089,C,insertion_recursive
36000,2197410,C,insertion_recursive
36000,2219611,C,insertion_recursive
36000,2218297,C,insertion_recursive
36000,2216048,C,insertion_recursive
36000,2216731,C,insertion_recursive
36000,2227384,C,insertion_recursive
36000,2218147,C,insertion_recursive
36000,2288063,C,insertion_recursive
36000,2251138,C,insertion_recursive
37000,2421866,C,insertion_recursive
37000,2374992,C,insertion_recursive
37000,2449441,C,insertion_recursive
37000,2380497,C,insertion_recursive
37000,2354689,C,insertion_recursive
37000,2404990,C,insertion_recursive
37000,2406697,C,insertion_recursive
37000,2501899,C,insertion_recursive
37000,2417362,C,insertion_recursive
37000,2352125,C,insertion_recursive
38000,2496627,C,insertion_recursive
38000,2469808,C,insertion_recursive
38000,2474379,C,insertion_recursive
38000,2522210,C,insertion_recursive
38000,2402145,C,insertion_recursive
38000,2438738,C,insertion_recursive
38000,2454374,C,insertion_recursive
38000,2445043,C,insertion_recursive
38000,2423946,C,insertion_recursive
38000,2532439,C,insertion_recursive
39000,2574663,C,insertion_recursive
39000,2562153,C,insertion_recursive
39000,2626507,C,insertion_recursive
39000,2579249,C,insertion_recursive
39000,2547508,C,insertion_recursive
39000,2816952,C,insertion_recursive
39000,2635046,C,insertion_recursive
39000,2623924,C,insertion_recursive
39000,2616930,C,insertion_recursive
39000,2647430,C,insertion_recursive
40000,2818373,C,insertion_recursive
40000,2845000,C,insertion_recursive
40000,2754605,C,insertion_recursive
40000,2794598,C,insertion_recursive
40000,2795477,C,insertion_recursive
40000,2792508,C,insertion_recursive
40000,2805940,C,insertion_recursive
40000,2805529,C,insertion_recursive
40000,2735490,C,insertion_recursive
40000,2756868,C,insertion_recursive
41000,2899131,C,insertion_recursive
41000,2909985,C,insertion_recursive
41000,2913904,C,insertion_recursive
41000,2868747,C,insertion_recursive
41000,2860020,C,insertion_recursive
41000,2877499,C,insertion_recursive
41000,2812827,C,insertion_recursive
41000,2889479,C,insertion_recursive
41000,2792745,C,insertion_recursive
41000,2758277,C,insertion_recursive
42000,2908132,C,insertion_recursive
42000,2983247,C,insertion_recursive
42000,2971120,C,insertion_recursive
42000,3095729,C,insertion_recursive
42000,2915692,C,insertion_recursive
42000,2993537,C,insertion_recursive
42000,3102393,C,insertion_recursive
