input,query,time,language,algorithm
27000,2732,17,C,linear_recursive
27000,-1,197,C,linear_recursive
27000,6531,42,C,linear_recursive
27000,14654,99,C,linear_recursive
27000,-1,199,C,linear_recursive
27000,476,4,C,linear_recursive
27000,8043,69,C,linear_recursive
27000,-1,240,C,linear_recursive
28000,-1,203,C,linear_recursive
28000,-1,191,C,linear_recursive
28000,-1,188,C,linear_recursive
28000,-1,280,C,linear_recursive
28000,24325,163,C,linear_recursive
28000,-1,189,C,linear_recursive
28000,20758,138,C,linear_recursive
28000,-1,195,C,linear_recursive
28000,-1,189,C,linear_recursive
28000,18476,123,C,linear_recursive
29000,13235,116,C,linear_recursive
29000,17272,123,C,linear_recursive
29000,7276,47,C,linear_recursive
29000,15411,104,C,linear_recursive
29000,4221,27,C,linear_recursive
29000,28214,276,C,linear_recursive
29000,-1,211,C,linear_recursive
29000,11977,80,C,linear_recursive
29000,27656,201,C,linear_recursive
29000,-1,197,C,linear_recursive
30000,28090,279,C,linear_recursive
30000,21328,197,C,linear_recursive
30000,-1,243,C,linear_recursive
30000,10968,74,C,linear_recursive
30000,-1,226,C,linear_recursive
30000,218,2,C,linear_recursive
30000,-1,227,C,linear_recursive
30000,-1,280,C,linear_recursive
30000,23900,166,C,linear_recursive
30000,-1,212,C,linear_recursive
31000,-1,233,C,linear_recursive
31000,13492,90,C,linear_recursive
31000,-1,284,C,linear_recursive
31000,15124,102,C,linear_recursive
31000,23472,167,C,linear_recursive
31000,21362,142,C,linear_recursive
31000,5011,32,C,linear_recursive
31000,-1,239,C,linear_recursive
31000,-1,292,C,linear_recursive
31000,20261,143,C,linear_recursive
32000,-1,247,C,linear_recursive
32000,-1,223,C,linear_recursive
32000,268,1,C,linear_recursive
32000,2235,18,C,linear_recursive
32000,-1,309,C,linear_recursive
32000,-1,227,C,linear_recursive
32000,10425,70,C,linear_recursive
32000,-1,246,C,linear_recursive
32000,-1,313,C,linear_recursive
32000,-1,222,C,linear_recursive
33000,-1,248,C,linear_recursive
33000,21478,160,C,linear_recursive
33000,28389,203,C,linear_recursive
33000,-1,404,C,linear_recursive
33000,-1,238,C,linear_recursive
33000,14014,99,C,linear_recursive
33000,13237,87,C,linear_recursive
33000,11820,78,C,linear_recursive
33000,-1,317,C,linear_recursive
33000,-1,239,C,linear_recursive
34000,29467,217,C,linear_recursive
34000,-1,258,C,linear_recursive
34000,14903,100,C,linear_recursive
34000,33953,330,C,linear_recursive
34000,-1,246,C,linear_recursive
34000,-1,245,C,linear_recursive
34000,-1,242,C,linear_recursive
34000,18636,125,C,linear_recursive
34000,20101,179,C,linear_recursive
34000,-1,281,C,linear_recursive
35000,-1,272,C,linear_recursive
35000,-1,255,C,linear_recursive
35000,-1,252,C,linear_recursive
35000,2434,20,C,linear_recursive
35000,-1,345,C,linear_recursive
35000,10126,69,C,linear_recursive
35000,-1,281,C,linear_recursive
35000,-1,346,C,linear_recursive
35000,30650,222,C,linear_recursive
35000,4577,30,C,linear_recursive
36000,-1,314,C,linear_recursive
36000,4908,32,C,linear_recursive
36000,31517,311,C,linear_recursive
36000,28174,198,C,linear_recursive
36000,-1,281,C,linear_recursive
36000,-1,266,C,linear_recursive
36000,22083,156,C,linear_recursive
36000,23491,218,C,linear_recursive
36000,-1,303,C,linear_recursive
36000,8252,55,C,linear_recursive
37000,31655,242,C,linear_recursive
37000,29744,287,C,linear_recursive
37000,11987,80,C,linear_recursive
37000,-1,320,C,linear_recursive
37000,-1,279,C,linear_recursive
37000,8947,81,C,linear_recursive
37000,16388,139,C,linear_recursive
37000,-1,343,C,linear_recursive
37000,30455,218,C,linear_recursive
37000,9150,59,C,linear_recursive
38000,8468,68,C,linear_recursive
38000,-1,388,C,linear_recursive
38000,31438,232,C,linear_recursive
38000,-1,288,C,linear_recursive
38000,24044,231,C,linear_recursive
38000,-1,321,C,linear_recursive
38000,-1,314,C,linear_recursive
38000,-1,279,C,linear_recursive
38000,-1,386,C,linear_recursive
38000,5209,35,C,linear_recursive
39000,-1,356,C,linear_recursive
39000,17657,123,C,linear_recursive
39000,9421,62,C,linear_recursive
39000,-1,395,C,linear_recursive
39000,-1,312,C,linear_recursive
39000,17512,119,C,linear_recursive
39000,9019,60,C,linear_recursive
39000,-1,394,C,linear_recursive
39000,-1,316,C,linear_recursive
39000,32610,241,C,linear_recursive
40000,-1,337,C,linear_recursive
40000,13259,122,C,linear_recursive
40000,29660,263,C,linear_recursive
40000,13319,91,C,linear_recursive
40000,34210,278,C,linear_recursive
40000,35988,413,C,linear_recursive
40000,15801,109,C,linear_recursive
40000,33537,267,C,linear_recursive
40000,-1,324,C,linear_recursive
40000,5037,43,C,linear_recursive
41000,-1,501,C,linear_recursive
41000,22403,166,C,linear_recursive
41000,-1,350,C,linear_recursive
41000,-1,423,C,linear_recursive
41000,19119,166,C,linear_recursive
41000,16608,114,C,linear_recursive
41000,1776,10,C,linear_recursive
41000,7981,73,C,linear_recursive
41000,2869,18,C,linear_recursive
41000,-1,473,C,linear_recursive
42000,-1,354,C,linear_recursive
42000,-1,451,C,linear_recursive
42000,8588,58,C,linear_recursive
42000,23766,191,C,linear_recursive
42000,-1,360,C,linear_recursive
42000,36142,359,C,linear_recursive
42000,-1,348,C,linear_recursive
42000,38872,303,C,linear_recursive
42000,-1,326,C,linear_recursive
