time,input,algorithm,implementation,language,dummy
1.786814,6000,insertion_sort,iterative,Python,0
1.733041,6000,insertion_sort,iterative,Python,0
1.538248,6000,insertion_sort,iterative,Python,0
1.905303,6000,insertion_sort,iterative,Python,0
1.555311,6000,insertion_sort,iterative,Python,0
1.738281,6000,insertion_sort,iterative,Python,0
1.545893,6000,insertion_sort,iterative,Python,0
2.376428,7000,insertion_sort,iterative,Python,0
2.084513,7000,insertion_sort,iterative,Python,0
2.422620,7000,insertion_sort,iterative,Python,0
2.087871,7000,insertion_sort,iterative,Python,0
2.542506,7000,insertion_sort,iterative,Python,0
2.203363,7000,insertion_sort,iterative,Python,0
2.625489,7000,insertion_sort,iterative,Python,0
2.145480,7000,insertion_sort,iterative,Python,0
2.573398,7000,insertion_sort,iterative,Python,0
2.120567,7000,insertion_sort,iterative,Python,0
3.052244,8000,insertion_sort,iterative,Python,0
2.765666,8000,insertion_sort,iterative,Python,0
3.078222,8000,insertion_sort,iterative,Python,0
2.764004,8000,insertion_sort,iterative,Python,0
2.983048,8000,insertion_sort,iterative,Python,0
2.825221,8000,insertion_sort,iterative,Python,0
3.196367,8000,insertion_sort,iterative,Python,0
2.971913,8000,insertion_sort,iterative,Python,0
3.118853,8000,insertion_sort,iterative,Python,0
2.788753,8000,insertion_sort,iterative,Python,0
3.890725,9000,insertion_sort,iterative,Python,0
4.073047,9000,insertion_sort,iterative,Python,0
4.215487,9000,insertion_sort,iterative,Python,0
3.674344,9000,insertion_sort,iterative,Python,0
4.139226,9000,insertion_sort,iterative,Python,0
3.481066,9000,insertion_sort,iterative,Python,0
4.111180,9000,insertion_sort,iterative,Python,0
3.976278,9000,insertion_sort,iterative,Python,0
4.044611,9000,insertion_sort,iterative,Python,0
4.110318,9000,insertion_sort,iterative,Python,0
5.232780,10000,insertion_sort,iterative,Python,0
4.266289,10000,insertion_sort,iterative,Python,0
4.701992,10000,insertion_sort,iterative,Python,0
4.776832,10000,insertion_sort,iterative,Python,0
4.918918,10000,insertion_sort,iterative,Python,0
4.462547,10000,insertion_sort,iterative,Python,0
4.971982,10000,insertion_sort,iterative,Python,0
4.959644,10000,insertion_sort,iterative,Python,0
5.278047,10000,insertion_sort,iterative,Python,0
4.979120,10000,insertion_sort,iterative,Python,0
6.568215,11000,insertion_sort,iterative,Python,0
5.280590,11000,insertion_sort,iterative,Python,0
6.457652,11000,insertion_sort,iterative,Python,0
6.046298,11000,insertion_sort,iterative,Python,0
6.079220,11000,insertion_sort,iterative,Python,0
5.264652,11000,insertion_sort,iterative,Python,0
5.633352,11000,insertion_sort,iterative,Python,0
6.270266,11000,insertion_sort,iterative,Python,0
5.236241,11000,insertion_sort,iterative,Python,0
6.312287,11000,insertion_sort,iterative,Python,0
7.181030,12000,insertion_sort,iterative,Python,0
7.048705,12000,insertion_sort,iterative,Python,0
7.022880,12000,insertion_sort,iterative,Python,0
7.164361,12000,insertion_sort,iterative,Python,0
7.518839,12000,insertion_sort,iterative,Python,0
6.667537,12000,insertion_sort,iterative,Python,0
7.089278,12000,insertion_sort,iterative,Python,0
6.765727,12000,insertion_sort,iterative,Python,0
7.505967,12000,insertion_sort,iterative,Python,0
7.539113,12000,insertion_sort,iterative,Python,0
7.274594,13000,insertion_sort,iterative,Python,0
7.265322,13000,insertion_sort,iterative,Python,0
9.156083,13000,insertion_sort,iterative,Python,0
7.355843,13000,insertion_sort,iterative,Python,0
8.547010,13000,insertion_sort,iterative,Python,0
7.975286,13000,insertion_sort,iterative,Python,0
9.353009,13000,insertion_sort,iterative,Python,0
8.153285,13000,insertion_sort,iterative,Python,0
7.330787,13000,insertion_sort,iterative,Python,0
9.115678,13000,insertion_sort,iterative,Python,0
9.121806,14000,insertion_sort,iterative,Python,0
10.618781,14000,insertion_sort,iterative,Python,0
8.472127,14000,insertion_sort,iterative,Python,0
9.327047,14000,insertion_sort,iterative,Python,0
10.006239,14000,insertion_sort,iterative,Python,0
9.841324,14000,insertion_sort,iterative,Python,0
